1 0.005 0 0.0999829 0.100012
1 0.005 0.005 0.0999254 0.100054
1 0.005 0.01 0.0998284 0.100124
1 0.005 0.015 0.0996927 0.100222
1 0.005 0.02 0.0995194 0.100345
1 0.005 0.025 0.0993092 0.100493
1 0.005 0.03 0.099063 0.100666
1 0.005 0.035 0.0987815 0.100861
1 0.005 0.04 0.0984655 0.101078
1 0.005 0.045 0.0981157 0.101317
1 0.005 0.05 0.0977329 0.101576
1 0.005 0.055 0.0973177 0.101854
1 0.005 0.06 0.0968707 0.102151
1 0.005 0.065 0.0963926 0.102465
1 0.005 0.07 0.095884 0.102796
1 0.005 0.075 0.0953455 0.103143
1 0.005 0.08 0.0947777 0.103504
1 0.005 0.085 0.0941811 0.10388
1 0.005 0.09 0.0935562 0.10427
1 0.005 0.095 0.0929035 0.104672
1 0.005 0.1 0.0922236 0.105087
1 0.005 0.105 0.091517 0.105512
1 0.005 0.11 0.0907841 0.105948
1 0.005 0.115 0.0900253 0.106394
1 0.005 0.12 0.0892412 0.106849
1 0.005 0.125 0.0884321 0.107312
1 0.005 0.13 0.0875985 0.107784
1 0.005 0.135 0.0867408 0.108262
1 0.005 0.14 0.0858594 0.108747
1 0.005 0.145 0.0849547 0.109238
1 0.005 0.15 0.084027 0.109734
1 0.005 0.155 0.0830768 0.110234
1 0.005 0.16 0.0821044 0.110739
1 0.005 0.165 0.0811102 0.111247
1 0.005 0.17 0.0800944 0.111759
1 0.005 0.175 0.0790576 0.112272
1 0.005 0.18 0.078 0.112788
1 0.005 0.185 0.0769219 0.113304
1 0.005 0.19 0.0758237 0.113822
1 0.005 0.195 0.0747057 0.114339
1 0.005 0.2 0.0735682 0.114857
1 0.005 0.205 0.0724116 0.115374
1 0.005 0.21 0.0712361 0.115889
1 0.005 0.215 0.070042 0.116403
1 0.005 0.22 0.0688297 0.116914
1 0.005 0.225 0.0675995 0.117423
1 0.005 0.23 0.0663516 0.117929
1 0.005 0.235 0.0650864 0.118431
1 0.005 0.24 0.0638041 0.118929
1 0.005 0.245 0.062505 0.119423
1 0.005 0.25 0.0611895 0.119912
1 0.005 0.255 0.0598578 0.120396
