1 0.005 0 0.0999499 0.100039 0
1 0.005 0.005 0.0998601 0.100108 0
1 0.005 0.01 0.0997314 0.100204 0
1 0.005 0.015 0.0995648 0.100328 0
1 0.005 0.02 0.099361 0.100477 0
1 0.005 0.025 0.0991209 0.100651 0
1 0.005 0.03 0.0988453 0.100849 0
1 0.005 0.035 0.0985348 0.10107 0
1 0.005 0.04 0.0981902 0.101312 0
1 0.005 0.045 0.0978122 0.101576 0
1 0.005 0.05 0.0974013 0.101859 0
1 0.005 0.055 0.0969582 0.102159 0
1 0.005 0.06 0.0964834 0.102478 0
1 0.005 0.065 0.0959775 0.102812 0
1 0.005 0.07 0.0954412 0.103163 0
1 0.005 0.075 0.0948748 0.103528 0
1 0.005 0.08 0.0942789 0.103907 0
1 0.005 0.085 0.0936539 0.1043 0
1 0.005 0.09 0.0930015 0.104706 0
1 0.005 0.095 0.0923219 0.105123 0
1 0.005 0.1 0.0916155 0.105552 0
1 0.005 0.105 0.0908828 0.105992 0
1 0.005 0.11 0.0901241 0.106442 0
1 0.005 0.115 0.0893398 0.1069 0
1 0.005 0.12 0.0885302 0.107368 0
1 0.005 0.125 0.0876956 0.107844 0
1 0.005 0.13 0.0868364 0.108327 0
1 0.005 0.135 0.0859529 0.108817 0
1 0.005 0.14 0.0850454 0.109313 0
1 0.005 0.145 0.0841151 0.109814 0
1 0.005 0.15 0.0831623 0.11032 0
1 0.005 0.155 0.0821872 0.11083 0
1 0.005 0.16 0.0811901 0.111343 0
1 0.005 0.165 0.0801712 0.111858 0
1 0.005 0.17 0.0791308 0.112376 0
1 0.005 0.175 0.0780689 0.112895 0
1 0.005 0.18 0.076987 0.113415 0
1 0.005 0.185 0.0758852 0.113936 0
1 0.005 0.19 0.0747636 0.114458 0
1 0.005 0.195 0.0736224 0.114979 0
1 0.005 0.2 0.0724618 0.115499 0
1 0.005 0.205 0.071282 0.116018 0
1 0.005 0.21 0.0700831 0.116536 0
1 0.005 0.215 0.0688663 0.117052 0
1 0.005 0.22 0.0676318 0.117565 0
1 0.005 0.225 0.0663796 0.118075 0
1 0.005 0.23 0.06511 0.118581 0
1 0.005 0.235 0.0638229 0.119082 0
1 0.005 0.24 0.0625186 0.119578 0
1 0.005 0.245 0.0611971 0.12007 0
1 0.005 0.25 0.0598598 0.120555 0
1 0.005 0.255 0.0585066 0.121035 0
1 0.005 0.26 0.0571376 0.121509 0
1 0.005 0.265 0.055753 0.121976 0
1 0.005 0.27 0.0543529 0.122436 0
1 0.005 0.275 0.0529385 0.122889 0
1 0.005 0.28 0.0515097 0.123335 0
1 0.005 0.285 0.0500668 0.123772 0
1 0.005 0.29 0.0486098 0.124202 0
1 0.005 0.295 0.0471387 0.124623 0
1 0.005 0.3 0.0456537 0.125035 0
1 0.005 0.305 0.0441559 0.125437 0
1 0.005 0.31 0.0426454 0.125829 0
1 0.005 0.315 0.0411223 0.126211 0
1 0.005 0.32 0.0395866 0.126582 0
1 0.005 0.325 0.0380384 0.126941 0
1 0.005 0.33 0.0364788 0.12729 0
1 0.005 0.335 0.0349081 0.127627 0
1 0.005 0.34 0.0333261 0.127952 0
1 0.005 0.345 0.0317329 0.128265 0
1 0.005 0.35 0.0301287 0.128566 0
1 0.005 0.355 0.0285146 0.128855 0
1 0.005 0.36 0.0268907 0.12913 0
1 0.005 0.365 0.025257 0.129393 0
1 0.005 0.37 0.0236135 0.129642 0
1 0.005 0.375 0.0219604 0.129878 0
1 0.005 0.38 0.0202988 0.1301 0
1 0.005 0.385 0.0186287 0.130309 0
1 0.005 0.39 0.0169503 0.130503 0
1 0.005 0.395 0.0152635 0.130683 0
1 0.005 0.4 0.0135695 0.130848 0
1 0.005 0.405 0.0118685 0.130999 0
1 0.005 0.41 0.0101603 0.131134 0
1 0.005 0.415 0.00844513 0.131254 0
1 0.005 0.42 0.00672296 0.131359 0
1 0.005 0.425 0.00499499 0.131449 0
1 0.005 0.43 0.00326127 0.131522 0
1 0.005 0.435 0.00152184 0.13158 0
1 0.005 0.44 -0.000223272 0.131622 0
1 0.005 0.445 -0.00197286 0.131647 0
1 0.005 0.45 -0.00372688 0.131655 0
1 0.005 0.455 -0.00548532 0.131647 0
1 0.005 0.46 -0.00724813 0.131622 0
1 0.005 0.465 -0.00901526 0.13158 0
1 0.005 0.47 -0.0107855 0.131521 0
1 0.005 0.475 -0.0125589 0.131444 0
1 0.005 0.48 -0.0143353 0.13135 0
1 0.005 0.485 -0.0161147 0.131237 0
1 0.005 0.49 -0.0178959 0.131107 0
1 0.005 0.495 -0.0196788 0.130959 0
1 0.005 0.5 -0.0214635 0.130792 0
1 0.005 0.505 -0.0232499 0.130608 0
1 0.005 0.51 -0.025038 0.130404 0
1 0.005 0.515 -0.0268265 0.130182 0
1 0.005 0.52 -0.0286153 0.12994 0
1 0.005 0.525 -0.0304046 0.12968 0
1 0.005 0.53 -0.0321941 0.129401 0
1 0.005 0.535 -0.0339827 0.129102 0
1 0.005 0.54 -0.0357704 0.128783 0
1 0.005 0.545 -0.0375571 0.128445 0
1 0.005 0.55 -0.0393427 0.128087 0
1 0.005 0.555 -0.0411261 0.127709 0
1 0.005 0.56 -0.0429073 0.127311 0
1 0.005 0.565 -0.0446861 0.126893 0
1 0.005 0.57 -0.0464625 0.126455 0
1 0.005 0.575 -0.0482364 0.125996 0
1 0.005 0.58 -0.0500067 0.125516 0
1 0.005 0.585 -0.0517733 0.125015 0
1 0.005 0.59 -0.0535361 0.124494 0
1 0.005 0.595 -0.0552952 0.123953 0
